Charge (Wh),Charge (Ah),Voltage,Current,Time,TBAT1,TBAT2,TBAT3,TBAT4,TBRD,Cycle Number,Charge direction (chg/hold/dschg)
35.35160305790247,4.137363891195344,8.262768399999999,0.0498533738,57480.757901622,260.66656,261.62080000000003,261.46176,260.58704,297.1278452,1,hold
35.35160305790247,4.137363891195344,8.264567,0.05278592519999999,57502.31036535,260.58704,261.62080000000003,261.62080000000003,260.66656,297.202332,1,hold
35.35160305790247,4.137363891195344,8.2663656,0.058651027999999994,57523.871014808,260.8256,261.70032000000003,261.46176,260.66656,297.1278452,1,hold
35.35160305790247,4.137363891195344,8.260969799999998,0.0498533738,57545.434042189,260.74608,261.70032000000003,261.54128000000003,260.66656,297.202332,1,hold
35.35160305790247,4.137363891195344,8.264567,0.043988270999999995,57566.9870069,260.66656,261.54128000000003,261.54128000000003,260.74608,297.202332,1,hold
35.35160305790247,4.137363891195344,8.2609698,0.0498533738,57588.545265437,260.58704,261.70032000000003,261.70032000000003,260.66656,297.1278452,1,hold
35.35160305790247,4.137363891195344,8.2663656,0.05278592519999999,57610.099036122,260.66656,261.70032000000003,261.62080000000003,260.58704,297.202332,1,hold
35.35160305790247,4.137363891195344,8.262768399999999,0.0410557196,57631.651124862,260.66656,261.70032000000003,261.70032000000003,260.74608,297.1278452,1,hold
35.35160305790247,4.137363891195344,8.2663656,0.043988270999999995,57653.2123693,260.66656,261.70032000000003,261.70032000000003,260.74608,297.202332,1,hold
35.35160305790247,4.137363891195344,8.2591712,0.0469208224,57674.766053988,260.8256,261.70032000000003,261.70032000000003,260.74608,297.202332,1,hold
35.35160305790247,4.137363891195344,8.262768399999999,0.043988270999999995,57696.316076796,260.8256,261.77984000000004,261.77984000000004,260.74608,297.202332,1,hold
35.35160305790247,4.137363891195344,8.2663656,0.043988270999999995,57717.875408298,260.66656,261.85936000000004,261.70032000000003,260.74608,297.202332,1,hold
35.35160305790247,4.137363891195344,8.2609698,0.0410557196,57739.440396613,260.90512,261.77984000000004,261.77984000000004,260.8256,297.202332,1,hold
35.35160305790247,4.137363891195344,8.260969799999998,0.0410557196,57760.993747312,260.66656,261.77984000000004,261.70032000000003,260.66656,297.202332,1,hold
32.91358565592932,3.8345923038565655,8.052332199999999,-1.744868083,57782.560283577,261.14368,262.25696,262.0184,261.38224,297.202332,1,dschg
32.83454305446067,3.8247299301655766,8.0145616,-1.7272727746,57803.115546075,261.30272,262.25696,262.25696,261.54128000000003,297.35130560000005,1,dschg
32.754811419118276,3.8147681702271488,8.00377,-1.7448680829999998,57823.668581647,261.38224,262.25696,262.33648,261.62080000000003,297.35130560000005,1,dschg
32.67601907106329,3.8049038155155004,7.987582599999999,-1.7272727746,57844.227973009,261.46176,262.33648,262.33648,261.62080000000003,297.4257924,1,dschg
32.59547380697763,3.7948040862561148,7.9749924,-1.7683284941999997,57864.789212311,261.54128000000003,262.49552,262.33648,261.54128000000003,297.35130560000005,1,dschg
32.51641454618373,3.7848906898754615,7.9749924,-1.7360704287999997,57885.346112756,261.46176,262.65456,262.33648,261.85936000000004,297.50027919999997,1,dschg
32.43761185403333,3.7749960759488004,7.964200799999999,-1.7331378773999997,57905.898782339,261.77984,262.49552,262.57504,261.77984000000004,297.50027919999997,1,dschg
32.356989284223445,3.7648660916345875,7.958805,-1.774193597,57926.453440857,261.77984,262.73408,262.65456,261.77984,297.574766,1,dschg
32.27704889833758,3.7548172798504553,7.955207799999999,-1.7595308399999998,57947.013309204,261.85936000000004,262.57504,262.65456,261.85936000000004,297.7237396,1,dschg
